                         Seat_comfort  Seat_Class  Arrival_time_convenient  Catering  Platform_location  Onboardwifi_service  Onboard_entertainment  Online_support  Onlinebooking_Ease  Onboard_service  Leg_room  Baggage_handling
                         Seat_comfort  Seat_Class  Arrival_time_convenient  Catering  Platform_location  Onboardwifi_service  Onboard_entertainment  Online_support  Onlinebooking_Ease  Onboard_service  Leg_room  Baggage_handling
Seat_comfort                 1.000000   -0.005450                 0.438806  0.701831          -0.044897             0.132628               0.400207        0.124628            0.205354         0.109573  0.123228          0.112169
Seat_Class                  -0.005450    1.000000                -0.007125 -0.005458          -0.005551            -0.001659              -0.001425       -0.001617            0.009050         0.000685  0.004052         -0.000415
Arrival_time_convenient      0.438806   -0.007125                 1.000000  0.538870          -0.079840            -0.007304               0.061672       -0.005517           -0.001303         0.049060  0.023343          0.070064
Catering                     0.701831   -0.005458                 0.538870  1.000000          -0.061912             0.023014               0.324329        0.026739            0.034449         0.030000  0.063773          0.034436
Platform_location           -0.044897   -0.005551                -0.079840 -0.061912           1.000000            -0.031139              -0.097360       -0.059938           -0.064833        -0.083421 -0.046849         -0.047909
Onboardwifi_service          0.132628   -0.001659                -0.007304  0.023014          -0.031139             1.000000               0.260251        0.534069            0.575705         0.049466  0.029426          0.046019
Onboard_entertainment        0.400207   -0.001425                 0.061672  0.324329          -0.097360             0.260251               1.000000        0.466923            0.345224         0.200567  0.181146          0.163528
Online_support               0.124628   -0.001617                -0.005517  0.026739          -0.059938             0.534069               0.466923        1.000000            0.605702         0.171569  0.156150          0.137999
Onlinebooking_Ease           0.205354    0.009050                -0.001303  0.034449          -0.064833             0.575705               0.345224        0.605702            1.000000         0.461643  0.379210          0.431078
Onboard_service              0.109573    0.000685                 0.049060  0.030000          -0.083421             0.049466               0.200567        0.171569            0.461643         1.000000  0.425854          0.558090
Leg_room                     0.123228    0.004052                 0.023343  0.063773          -0.046849             0.029426               0.181146        0.156150            0.379210         0.425854  1.000000          0.418086
Baggage_handling             0.112169   -0.000415                 0.070064  0.034436          -0.047909             0.046019               0.163528        0.137999            0.431078         0.558090  0.418086          1.000000
